Aggregation analysis,PioViewer 1.10.24.3
File, C:\Users\benit\OneDrive\Solves\BB vs BB SRP\BU vs BB SRP 33%\Bu vs BB SRP 33% 3s3h3d.cfr
Action Line,Root CHECK
Flop,Global %,OOP Equity,OOP EV,OOP EQR,IP Equity,IP EV,IP EQR,BET 18 Freq,BET 18 EV,CHECK Freq,CHECK EV
Kc Qc 9c,100,46.14,22.9177,90.3132,53.86,32.0823,108.298,34.50,37.15,65.50,29.41
Kc Qd 9c,100,44.81,20.9592,85.0384,55.19,34.0408,112.149,62.15,37.26,37.85,28.76
Kc Qd 9s,100,44.19,20.1924,83.0806,55.81,34.8076,113.397,69.90,37.16,30.10,29.34
Kc Td Tc,100,44.23,19.7374,81.1311,55.77,35.2625,114.966,77.62,36.67,22.38,30.37
Kd 6s 6h,100,45.24,20.5789,82.7115,54.76,34.4211,114.281,72.76,36.27,27.24,29.48
Kd Jd Td,100,45.43,21.944,87.8161,54.57,33.056,110.145,49.09,36.73,50.91,29.51
Kd Jh Td,100,43.93,19.1296,79.1761,56.07,35.8704,116.314,77.92,37.89,22.08,28.73
Kd Jh Ts,100,43.25,17.8823,75.1789,56.75,37.1177,118.915,89.35,38.00,10.65,29.73
Kh Qc 3d,100,45.39,19.8352,79.4584,54.61,35.1648,117.072,84.08,36.27,15.92,29.34
Kh Qc 3h,100,45.75,20.7269,82.3742,54.25,34.273,114.863,68.83,36.93,31.17,28.41
Kh Qc Jh,100,44.44,20.5244,83.9742,55.56,34.4756,112.817,61.52,37.72,38.48,29.29
Kh Qc Js,100,43.86,19.7955,82.0547,56.14,35.2045,114.022,65.81,37.87,34.19,30.08
Kh Qh 3h,100,46.56,22.5578,88.0885,53.44,32.4422,110.378,41.52,36.97,58.48,29.23
Kh Qh Jh,100,45.78,22.3463,88.7444,54.22,32.6537,109.504,43.43,36.68,56.57,29.56
Ks 6s 6h,100,45.70,21.3014,84.7568,54.30,33.6985,112.826,65.72,36.00,34.28,29.29
Ks 8c 3d,100,45.39,19.8714,79.5995,54.61,35.1286,116.956,90.13,35.85,9.87,28.52
Ks 8s 3d,100,45.89,21.2191,84.068,54.11,33.7809,113.513,68.11,36.35,31.89,28.29
Ks 8s 3s,100,46.51,22.7192,88.8175,53.49,32.2808,109.723,40.56,35.95,59.44,29.78
