Flop,Hand,Weight OOP,OOP Equity,OOP EV,OOP EQR
6d 5h 2d,KdTs,0.674,42.19,11.8795,51.1932
6d 5h 2d,KdJs,0.712,44.19,13.1162,53.971
6d 5h 2d,KdQs,0.486,46.18,14.9717,58.9491
6d 5h 2d,Ad3c,0.192,53.47,24.2844,82.5722
6d 5h 2d,Ad4c,0.517,54.37,25.6708,85.8444
6d 5h 2d,Ad5c,0.710,66.48,35.7236,97.6969
6d 5h 2d,Ad6c,0.551,70.68,43.8056,112.687
6d 5h 2d,Ad7c,0.857,52.01,19.301,67.4732
6d 5h 2d,Ad8c,0.886,53.15,19.2766,65.9476
6d 5h 2d,Ad9c,0.796,54.36,19.7487,66.0527
6d 5h 2d,AdTc,0.706,55.39,21.0441,69.0733
6d 5h 2d,AdJc,0.315,57.46,23.2713,73.6418
6d 5h 2d,AdQc,0.434,59.54,25.7126,78.514
6d 5h 2d,Ad3d,0.735,69.71,70.1896,183.06
6d 5h 2d,Ad4d,0.638,70.23,71.3512,184.728
6d 5h 2d,Ad5d,0.564,79.25,82.4829,189.236
6d 5h 2d,Ad7d,0.657,69.13,65.2262,171.545
6d 5h 2d,Ad8d,0.722,69.96,65.2494,169.587
6d 5h 2d,Ad9d,0.781,70.86,66.247,169.991
6d 5h 2d,AdTd,0.639,71.67,67.6289,171.57
6d 5h 2d,AdJd,0.670,73.06,68.314,170.009
6d 5h 2d,Ad3h,0.192,53.55,24.4783,83.1111
6d 5h 2d,Ad4h,0.517,54.42,25.8165,86.2502
6d 5h 2d,Ad6h,0.551,70.71,44.201,113.654
6d 5h 2d,Ad7h,0.857,52.07,19.4885,68.0455
6d 5h 2d,Ad8h,0.886,53.27,19.4982,66.5523
6d 5h 2d,Ad9h,0.796,54.49,19.9919,66.7088
6d 5h 2d,AdTh,0.706,55.52,21.3027,69.7658
6d 5h 2d,AdJh,0.315,57.51,23.6104,74.6443
6d 5h 2d,AdQh,0.434,59.60,26.0941,79.602
6d 5h 2d,Ad3s,0.192,53.47,24.2844,82.5722
6d 5h 2d,Ad4s,0.517,54.37,25.6708,85.8444
6d 5h 2d,Ad5s,0.710,66.48,35.7236,97.697
6d 5h 2d,Ad6s,0.551,70.68,43.8056,112.687
6d 5h 2d,Ad7s,0.857,52.01,19.301,67.4732
6d 5h 2d,Ad8s,0.886,53.15,19.2766,65.9476
6d 5h 2d,Ad9s,0.796,54.36,19.7487,66.0527
6d 5h 2d,AdTs,0.706,55.39,21.0441,69.0733
6d 5h 2d,AdJs,0.315,57.46,23.2713,73.6419
6d 5h 2d,AdQs,0.434,59.54,25.7126,78.514
6d 5h 2d,2h2c,1.000,90.60,114.332,229.453
6d 5h 2d,3h3c,1.000,59.64,26.1718,79.7931
6d 5h 2d,3h3d,1.000,61.51,28.7569,85.003
6d 5h 2d,3h2h,0.205,63.46,38.1513,109.299
6d 5h 2d,4h4c,1.000,61.37,28.9662,85.8173
6d 5h 2d,4h4d,1.000,63.24,31.6864,91.0987
6d 5h 2d,4h2h,0.477,64.09,39.7107,112.649
6d 5h 2d,4h3h,0.841,91.88,126.549,250.414
6d 5h 2d,6h6c,0.930,91.93,129.744,256.598
6d 5h 2d,6h3h,0.709,68.46,42.0841,111.772
6d 5h 2d,6h4h,0.789,69.01,43.8337,115.494
6d 5h 2d,7h6c,0.123,65.47,34.9918,97.1779
6d 5h 2d,7h7c,0.826,66.23,35.8222,98.3475
6d 5h 2d,7h7d,0.826,68.34,39.9212,106.217
6d 5h 2d,7h3h,0.057,33.23,20.7429,113.485
6d 5h 2d,7h4h,0.792,44.06,37.7317,155.715
6d 5h 2d,7h6h,0.672,66.99,39.0655,106.022
6d 5h 2d,7h6s,0.123,65.47,34.9918,97.1779
6d 5h 2d,8h7c,0.283,42.94,37.8673,160.352
6d 5h 2d,8h8c,0.763,67.08,37.6977,102.181
6d 5h 2d,8h7d,0.283,45.19,41.8758,168.471
6d 5h 2d,8h8d,0.763,69.22,41.8293,109.868
6d 5h 2d,8h4h,0.075,43.07,33.964,143.365
6d 5h 2d,8h6h,0.746,66.65,38.0496,103.8
6d 5h 2d,8h7h,0.680,45.47,41.4917,165.918
6d 5h 2d,8h7s,0.283,42.94,37.8673,160.352
6d 5h 2d,9h8c,0.259,31.57,20.2647,116.697
6d 5h 2d,9h9c,0.351,68.94,42.8584,113.04
6d 5h 2d,9h8d,0.259,34.26,23.392,124.148
6d 5h 2d,9h9d,0.351,71.20,47.3675,120.967
6d 5h 2d,9h6h,0.709,66.62,38.0877,103.944
6d 5h 2d,9h7h,0.709,34.92,25.5744,133.157
6d 5h 2d,9h8h,0.558,34.72,23.7003,124.097
6d 5h 2d,9h8s,0.259,31.57,20.2647,116.697
6d 5h 2d,Th8c,0.357,21.81,6.25056,52.1003
6d 5h 2d,Th9c,0.809,21.99,5.19891,42.9879
6d 5h 2d,Th8d,0.357,24.79,7.85842,57.6352
6d 5h 2d,Th9d,0.809,25.14,6.81001,49.2543
6d 5h 2d,Th2h,0.114,58.72,31.3597,97.1083
6d 5h 2d,Th3h,0.161,32.32,16.0084,90.0437
6d 5h 2d,Th4h,0.238,33.49,17.698,96.0748
6d 5h 2d,Th6h,0.622,66.22,38.1775,104.828
6d 5h 2d,Th7h,0.594,25.56,9.74047,69.2744
6d 5h 2d,Th8h,0.483,25.52,8.55988,60.9918
6d 5h 2d,Th9h,0.262,25.69,7.61552,53.8899
6d 5h 2d,Th8s,0.357,21.81,6.25056,52.1003
6d 5h 2d,Th9s,0.809,21.99,5.19891,42.9879
6d 5h 2d,Jh8c,0.091,25.23,6.35968,45.8272
6d 5h 2d,Jh9c,0.827,25.23,5.20608,37.5148
6d 5h 2d,JhTc,0.760,25.93,5.13926,36.0421
6d 5h 2d,Jh8d,0.091,28.17,8.03053,51.8407
6d 5h 2d,Jh9d,0.827,28.35,6.8486,43.9265
6d 5h 2d,JhTd,0.760,29.26,6.95897,43.2417
6d 5h 2d,Jh2h,0.550,58.78,30.3506,93.8727
6d 5h 2d,Jh3h,0.530,35.12,16.1824,83.7795
6d 5h 2d,Jh4h,0.662,36.29,17.8742,89.5579
6d 5h 2d,Jh6h,0.798,66.55,38.0204,103.867
6d 5h 2d,Jh7h,0.620,29.08,9.87222,61.7191
6d 5h 2d,Jh8h,0.609,28.82,8.69669,54.8628
6d 5h 2d,Jh9h,0.441,28.82,7.67104,48.3982
6d 5h 2d,JhTh,0.419,29.52,7.76919,47.8547
6d 5h 2d,Jh8s,0.091,25.23,6.35968,45.8272
6d 5h 2d,Jh9s,0.827,25.23,5.20608,37.5148
6d 5h 2d,JhTs,0.760,25.93,5.13926,36.0421
6d 5h 2d,Qh9c,0.824,30.27,5.58658,33.5524
6d 5h 2d,QhTc,0.766,31.01,5.62563,32.9886
6d 5h 2d,QhJc,0.818,32.99,6.2024,34.183
6d 5h 2d,Qh9d,0.824,33.31,7.2852,39.7676
6d 5h 2d,QhTd,0.766,34.26,7.51034,39.8577
6d 5h 2d,QhJd,0.818,36.40,8.69556,43.4303
6d 5h 2d,Qh2h,0.834,59.04,30.5517,94.0847
6d 5h 2d,Qh3h,0.842,39.11,16.8118,78.1522
6d 5h 2d,Qh4h,0.813,40.20,18.578,84.0229
6d 5h 2d,Qh6h,0.781,66.94,38.7789,105.335
6d 5h 2d,Qh7h,0.835,34.02,10.6438,56.8823
6d 5h 2d,Qh8h,0.699,33.66,9.42855,50.9274
6d 5h 2d,Qh9h,0.495,33.67,8.52664,46.0505
6d 5h 2d,QhTh,0.461,34.40,8.82939,46.6653
6d 5h 2d,QhJh,0.496,36.26,9.6045,48.1546
6d 5h 2d,Qh9s,0.824,30.27,5.58658,33.5524
6d 5h 2d,QhTs,0.766,31.01,5.62563,32.9886
6d 5h 2d,QhJs,0.818,32.99,6.2024,34.1831
6d 5h 2d,Kh7c,0.067,37.00,8.09964,39.7999
6d 5h 2d,Kh8c,0.405,37.16,7.21707,35.3147
6d 5h 2d,Kh9c,0.810,37.83,6.76092,32.492
6d 5h 2d,KhTc,0.674,38.65,7.36709,34.6603
6d 5h 2d,KhJc,0.712,40.64,8.39262,37.5435
6d 5h 2d,KhQc,0.486,42.64,9.99861,42.6341
6d 5h 2d,Kh7d,0.067,39.61,11.1129,51.0069
6d 5h 2d,Kh8d,0.405,39.87,9.34352,42.6123
6d 5h 2d,Kh9d,0.810,40.72,8.85128,39.5171
6d 5h 2d,KhTd,0.674,41.75,9.95668,43.3565
6d 5h 2d,KhJd,0.712,43.91,11.7882,48.8082
6d 5h 2d,KhQd,0.486,46.09,14.2991,56.4087
6d 5h 2d,Kh2h,0.802,59.49,31.455,96.1356
6d 5h 2d,Kh3h,0.819,44.22,18.1761,74.7403
6d 5h 2d,Kh4h,0.846,45.21,19.8932,80.0072
6d 5h 2d,Kh6h,0.739,67.41,40.0933,108.142
6d 5h 2d,Kh7h,0.762,40.06,12.263,55.6627
6d 5h 2d,Kh8h,0.755,40.24,11.3699,51.3671
6d 5h 2d,Kh9h,0.592,40.91,11.2228,49.8741
6d 5h 2d,KhTh,0.547,41.72,12.138,52.8951
6d 5h 2d,KhJh,0.535,43.59,13.2794,55.3943
6d 5h 2d,KhQh,0.215,45.49,15.0759,60.2557
6d 5h 2d,Kh7s,0.067,37.00,8.09964,39.7999
6d 5h 2d,Kh8s,0.405,37.16,7.21707,35.3147
6d 5h 2d,Kh9s,0.810,37.83,6.76092,32.492
6d 5h 2d,KhTs,0.674,38.65,7.36709,34.6603
6d 5h 2d,KhJs,0.712,40.64,8.39262,37.5435
6d 5h 2d,KhQs,0.486,42.64,9.99861,42.6342
6d 5h 2d,Ah3c,0.192,50.03,15.9591,57.9958
6d 5h 2d,Ah4c,0.517,50.96,17.3761,61.9987
6d 5h 2d,Ah5c,0.710,63.00,27.5139,79.4111
6d 5h 2d,Ah6c,0.551,67.15,35.2554,95.4659
6d 5h 2d,Ah7c,0.857,48.53,11.8473,44.3869
6d 5h 2d,Ah8c,0.886,49.64,12.1153,44.3739
6d 5h 2d,Ah9c,0.796,50.84,12.6604,45.2784
6d 5h 2d,AhTc,0.706,51.85,13.9396,48.8835
6d 5h 2d,AhJc,0.315,53.91,15.9091,53.6515
6d 5h 2d,AhQc,0.434,56.01,18.2319,59.1875
6d 5h 2d,Ah3d,0.192,51.96,17.9773,62.9062
6d 5h 2d,Ah4d,0.517,52.90,19.5931,67.3395
6d 5h 2d,Ah5d,0.710,65.00,31.5873,88.3566
6d 5h 2d,Ah7d,0.857,50.89,14.6343,52.2865
6d 5h 2d,Ah8d,0.886,52.08,15.0457,52.5264
6d 5h 2d,Ah9d,0.796,53.45,15.8537,53.9248
6d 5h 2d,AhTd,0.706,54.68,17.5792,58.4562
6d 5h 2d,AhJd,0.315,56.91,20.5155,65.5447
6d 5h 2d,AhQd,0.434,59.17,23.6309,72.609
6d 5h 2d,Ah2h,0.698,60.46,31.4263,94.5023
6d 5h 2d,Ah3h,0.735,52.39,21.9939,76.3318
6d 5h 2d,Ah4h,0.638,53.22,23.4186,80.01
6d 5h 2d,Ah6h,0.686,68.84,41.3791,109.291
6d 5h 2d,Ah7h,0.657,51.01,17.6869,63.0366
6d 5h 2d,Ah8h,0.722,52.15,17.995,62.7356
6d 5h 2d,Ah9h,0.781,53.32,18.5883,63.3838
6d 5h 2d,AhTh,0.639,54.31,19.8917,66.592
6d 5h 2d,AhJh,0.670,56.22,21.7856,70.4615
6d 5h 2d,Ah3s,0.192,50.03,15.9591,57.9958
6d 5h 2d,Ah4s,0.517,50.96,17.3761,61.9987
6d 5h 2d,Ah5s,0.710,63.00,27.5139,79.4112
6d 5h 2d,Ah6s,0.551,67.15,35.2554,95.4659
6d 5h 2d,Ah7s,0.857,48.53,11.8473,44.3869
6d 5h 2d,Ah8s,0.886,49.64,12.1153,44.3739
6d 5h 2d,Ah9s,0.796,50.84,12.6604,45.2784
6d 5h 2d,AhTs,0.706,51.85,13.9396,48.8835
6d 5h 2d,AhJs,0.315,53.91,15.9091,53.6515
6d 5h 2d,AhQs,0.434,56.01,18.2319,59.1875
6d 5h 2d,2s2c,1.000,90.58,114.373,229.58
6d 5h 2d,2s2h,1.000,90.60,114.332,229.453
6d 5h 2d,3s3c,1.000,59.56,25.9445,79.1981
6d 5h 2d,3s3d,1.000,61.44,28.5066,84.3643
6d 5h 2d,3s3h,1.000,59.64,26.1718,79.7931
6d 5h 2d,3s2s,0.205,61.64,33.348,98.3588
6d 5h 2d,4s4c,1.000,61.34,28.7913,85.3468
6d 5h 2d,4s4d,1.000,63.20,31.4792,90.5549
6d 5h 2d,4s4h,1.000,61.37,28.9662,85.8174
6d 5h 2d,4s2s,0.477,62.37,35.0909,102.3
6d 5h 2d,4s3s,0.841,91.62,125.186,248.417
6d 5h 2d,5s5c,0.991,91.32,122.847,244.6
6d 5h 2d,5s5d,0.991,91.97,123.257,243.663
6d 5h 2d,5s2s,0.706,83.52,80.0357,174.242
6d 5h 2d,5s3s,0.834,64.58,33.3082,93.781
6d 5h 2d,5s4s,0.745,65.22,35.0853,97.8094
6d 5h 2d,6s6c,0.930,91.86,129.624,256.554
6d 5h 2d,6s6h,0.930,91.93,129.744,256.598
6d 5h 2d,6s3s,0.709,66.93,37.3791,101.539
6d 5h 2d,6s4s,0.789,67.51,39.1068,105.324
6d 5h 2d,6s5s,0.740,84.68,83.1233,178.481
6d 5h 2d,7s6c,0.123,65.32,34.4244,95.8265
6d 5h 2d,7s7c,0.826,66.07,35.2679,97.0464
6d 5h 2d,7s7d,0.826,68.19,39.3044,104.803
6d 5h 2d,7s6h,0.123,65.31,35.0323,97.522
6d 5h 2d,7s7h,0.826,66.23,35.8223,98.3475
6d 5h 2d,7s3s,0.057,30.09,17.2401,104.182
6d 5h 2d,7s4s,0.792,41.50,33.9035,148.543
6d 5h 2d,7s5s,0.736,62.56,30.1648,87.6735
6d 5h 2d,7s6s,0.672,65.29,34.3428,95.644
6d 5h 2d,8s7c,0.283,42.84,37.4471,158.929
6d 5h 2d,8s8c,0.763,66.96,37.2362,101.103
6d 5h 2d,8s7d,0.283,45.10,41.4372,167.061
6d 5h 2d,8s8d,0.763,69.11,41.3254,108.725
6d 5h 2d,8s7h,0.283,42.93,37.8864,160.44
6d 5h 2d,8s8h,0.763,67.08,37.6977,102.181
6d 5h 2d,8s4s,0.075,40.49,29.9907,134.678
6d 5h 2d,8s5s,0.744,62.01,28.9736,84.9549
6d 5h 2d,8s6s,0.746,64.95,33.5053,93.7986
6d 5h 2d,8s7s,0.680,42.85,37.4078,158.709
6d 5h 2d,9s8c,0.259,31.48,19.9545,115.266
6d 5h 2d,9s9c,0.351,68.81,42.4742,112.224
6d 5h 2d,9s8d,0.259,34.16,23.0932,122.91
6d 5h 2d,9s9d,0.351,71.07,46.8996,119.976
6d 5h 2d,9s8h,0.259,31.57,20.2705,116.739
6d 5h 2d,9s9h,0.351,68.94,42.8584,113.04
6d 5h 2d,9s5s,0.211,61.62,28.6881,84.6486
6d 5h 2d,9s6s,0.709,64.90,33.6151,94.1746
6d 5h 2d,9s7s,0.709,31.72,21.9354,125.735
6d 5h 2d,9s8s,0.558,31.50,19.9325,115.056
6d 5h 2d,Ts8c,0.357,21.72,6.06927,50.8064
6d 5h 2d,Ts9c,0.809,21.89,5.07383,42.1449
6d 5h 2d,Ts8d,0.357,24.70,7.63944,56.241
6d 5h 2d,Ts9d,0.809,25.04,6.62698,48.1223
6d 5h 2d,Ts8h,0.357,21.81,6.20794,51.7495
6d 5h 2d,Ts9h,0.809,21.98,5.18513,42.8825
6d 5h 2d,Ts2s,0.114,56.50,26.1603,84.185
6d 5h 2d,Ts3s,0.161,29.05,12.2684,76.7895
6d 5h 2d,Ts4s,0.238,30.31,13.8497,83.0718
6d 5h 2d,Ts5s,0.262,60.87,28.1932,84.2134
6d 5h 2d,Ts6s,0.622,64.42,33.5166,94.5941
6d 5h 2d,Ts7s,0.594,21.82,7.03655,58.6443
6d 5h 2d,Ts8s,0.483,21.73,6.06579,50.7436
6d 5h 2d,Ts9s,0.262,21.89,5.08545,42.2413
6d 5h 2d,Js8c,0.091,25.15,6.1335,44.3398
6d 5h 2d,Js9c,0.827,25.15,5.06821,36.6445
6d 5h 2d,JsTc,0.760,25.84,5.01264,35.2705
6d 5h 2d,Js8d,0.091,28.08,7.78076,50.3777
6d 5h 2d,Js9d,0.827,28.26,6.63616,42.6949
6d 5h 2d,JsTd,0.760,29.17,6.75045,42.072
6d 5h 2d,Js8h,0.091,25.25,6.29739,45.3484
6d 5h 2d,Js9h,0.827,25.25,5.17971,37.2993
6d 5h 2d,JsTh,0.760,25.95,5.12387,35.9072
6d 5h 2d,Js2s,0.550,56.62,25.0447,80.4191
6d 5h 2d,Js3s,0.530,31.97,12.2696,69.7755
6d 5h 2d,Js4s,0.662,33.24,13.8996,76.022
6d 5h 2d,Js5s,0.792,61.01,27.3391,81.4788
6d 5h 2d,Js6s,0.798,64.70,33.1017,93.0164
6d 5h 2d,Js7s,0.620,25.50,7.01992,50.0543
6d 5h 2d,Js8s,0.609,25.18,6.12683,44.2338
6d 5h 2d,Js9s,0.441,25.15,5.07784,36.7141
6d 5h 2d,JsTs,0.419,25.84,5.01914,35.3163
6d 5h 2d,Qs9c,0.824,30.19,5.40654,32.5602
6d 5h 2d,QsTc,0.766,30.92,5.4617,32.1141
6d 5h 2d,QsJc,0.818,32.90,5.98851,33.0915
6d 5h 2d,Qs9d,0.824,33.22,7.018,38.4076
6d 5h 2d,QsTd,0.766,34.17,7.26698,38.6633
6d 5h 2d,QsJd,0.818,36.31,8.4548,42.3311
6d 5h 2d,Qs9h,0.824,30.30,5.52766,33.1693
6d 5h 2d,QsTh,0.766,31.03,5.58469,32.7191
6d 5h 2d,QsJh,0.818,32.98,6.13867,33.8399
6d 5h 2d,Qs2s,0.834,56.84,24.842,79.4609
6d 5h 2d,Qs3s,0.842,36.13,12.4939,62.8802
6d 5h 2d,Qs4s,0.813,37.31,14.1672,69.0318
6d 5h 2d,Qs5s,0.814,61.29,27.463,81.4669
6d 5h 2d,Qs6s,0.781,65.06,33.4784,93.5648
6d 5h 2d,Qs7s,0.835,30.66,7.255,43.0299
6d 5h 2d,Qs8s,0.699,30.22,6.39536,38.4718
6d 5h 2d,Qs9s,0.495,30.19,5.41564,32.615
6d 5h 2d,QsTs,0.461,30.92,5.46784,32.1503
6d 5h 2d,QsJs,0.496,32.90,5.99304,33.1165
6d 5h 2d,Ks7c,0.067,36.94,7.72216,38.008
6d 5h 2d,Ks8c,0.405,37.09,6.95102,34.0735
6d 5h 2d,Ks9c,0.810,37.76,6.52258,31.4027
6d 5h 2d,KsTc,0.674,38.58,7.09702,33.4488
6d 5h 2d,KsJc,0.712,40.57,8.09024,36.2544
6d 5h 2d,KsQc,0.486,42.57,9.69757,41.423
6d 5h 2d,Ks7d,0.067,39.55,10.777,49.5452
6d 5h 2d,Ks8d,0.405,39.80,9.00861,41.1563
6d 5h 2d,Ks9d,0.810,40.65,8.58607,38.3996
6d 5h 2d,KsTd,0.674,41.68,9.68786,42.2577
6d 5h 2d,KsJd,0.712,43.84,11.5239,47.794
6d 5h 2d,KsQd,0.486,46.01,14.0239,55.4145
6d 5h 2d,Ks7h,0.067,37.01,7.88855,38.7494
6d 5h 2d,Ks8h,0.405,37.20,7.09878,34.6927
6d 5h 2d,Ks9h,0.810,37.88,6.66567,31.9922
6d 5h 2d,KsTh,0.674,38.69,7.25568,34.0932
6d 5h 2d,KsJh,0.712,40.64,8.29684,37.1154
6d 5h 2d,KsQh,0.486,42.64,9.99163,42.6037
6d 5h 2d,Ks2s,0.802,57.26,25.1474,79.8527
6d 5h 2d,Ks3s,0.819,41.44,13.1031,57.4847
6d 5h 2d,Ks4s,0.846,42.53,14.7519,63.0619
6d 5h 2d,Ks5s,0.802,61.64,27.9024,82.2985
6d 5h 2d,Ks6s,0.739,65.50,34.3116,95.2438
6d 5h 2d,Ks7s,0.762,36.97,7.7242,37.9912
6d 5h 2d,Ks8s,0.755,37.10,6.94576,34.0417
6d 5h 2d,Ks9s,0.592,37.76,6.52553,31.417
6d 5h 2d,KsTs,0.547,38.58,7.09852,33.4559
6d 5h 2d,KsJs,0.535,40.57,8.09174,36.2611
6d 5h 2d,KsQs,0.215,42.57,9.70546,41.4567
6d 5h 2d,As3c,0.192,49.93,15.6032,56.8179
6d 5h 2d,As4c,0.517,50.85,16.9855,60.728
6d 5h 2d,As5c,0.710,62.84,27.1479,78.5455
6d 5h 2d,As6c,0.551,66.99,34.9394,94.8233
6d 5h 2d,As7c,0.857,48.43,11.5771,43.4675
6d 5h 2d,As8c,0.886,49.53,11.8356,43.447
6d 5h 2d,As9c,0.796,50.72,12.366,44.3291
6d 5h 2d,AsTc,0.706,51.72,13.6563,48.0055
6d 5h 2d,AsJc,0.315,53.78,15.5891,52.7014
6d 5h 2d,AsQc,0.434,55.87,17.8966,58.2448
6d 5h 2d,As3d,0.192,51.86,17.6058,61.7272
6d 5h 2d,As4d,0.517,52.80,19.191,66.0866
6d 5h 2d,As5d,0.710,64.85,31.2406,87.5924
6d 5h 2d,As7d,0.857,50.79,14.3545,51.3911
6d 5h 2d,As8d,0.886,51.97,14.7777,51.7011
6d 5h 2d,As9d,0.796,53.34,15.5938,53.1585
6d 5h 2d,AsTd,0.706,54.55,17.3123,57.7
6d 5h 2d,AsJd,0.315,56.78,20.2311,64.7864
6d 5h 2d,AsQd,0.434,59.03,23.3201,71.8234
6d 5h 2d,As3h,0.192,50.01,15.7635,57.3125
6d 5h 2d,As4h,0.517,50.91,17.1277,61.175
6d 5h 2d,As6h,0.551,67.03,35.3647,95.9321
6d 5h 2d,As7h,0.857,48.49,11.7003,43.8734
6d 5h 2d,As8h,0.886,49.65,12.036,44.0734
6d 5h 2d,As9h,0.796,50.85,12.5958,45.0388
6d 5h 2d,AsTh,0.706,51.85,13.9207,48.8177
6d 5h 2d,AsJh,0.315,53.83,15.9699,53.9361
6d 5h 2d,AsQh,0.434,55.92,18.3281,59.5893
6d 5h 2d,As2s,0.698,58.13,24.1993,75.6934
6d 5h 2d,As3s,0.735,49.93,15.5917,56.7761
6d 5h 2d,As4s,0.638,50.85,16.9837,60.7215
6d 5h 2d,As5s,0.564,62.84,27.158,78.5748
6d 5h 2d,As6s,0.686,66.99,34.9264,94.788
6d 5h 2d,As7s,0.657,48.43,11.5793,43.4757
6d 5h 2d,As8s,0.722,49.53,11.8375,43.4541
6d 5h 2d,As9s,0.781,50.72,12.3663,44.3301
6d 5h 2d,AsTs,0.639,51.72,13.6592,48.0157
6d 5h 2d,AsJs,0.670,53.78,15.5728,52.6465
6d 5h 2s,3c2c,0.205,64.09,38.0168,107.854
6d 5h 2s,4c2c,0.477,64.84,40.1621,112.619
6d 5h 2s,4c3c,0.841,94.96,149.596,286.436
6d 5h 2s,5c2c,0.706,86.14,88.9086,187.658
6d 5h 2s,5c3c,0.834,67.14,38.8928,105.326
6d 5h 2s,5c4c,0.745,67.81,41.1293,110.279
6d 5h 2s,6c3c,0.709,69.63,42.5402,111.086
6d 5h 2s,6c4c,0.789,70.23,44.6722,115.652
6d 5h 2s,6c5c,0.740,87.38,92.3513,192.157
6d 5h 2s,7c3c,0.057,31.42,20.6205,119.337
6d 5h 2s,7c4c,0.792,43.25,41.7903,175.673
6d 5h 2s,7c5c,0.736,65.12,35.209,98.31
6d 5h 2s,7c6c,0.672,67.99,39.2928,105.07
6d 5h 2s,7c6h,0.123,68.02,39.9392,106.753
6d 5h 2s,7c6s,0.123,68.11,40.1186,107.094
6d 5h 2s,8c4c,0.075,42.20,37.191,160.22
6d 5h 2s,8c5c,0.744,64.58,33.9239,95.5123
6d 5h 2s,8c6c,0.746,67.64,38.3726,103.152
6d 5h 2s,8c7c,0.680,44.69,46.0229,187.249
6d 5h 2s,8c7d,0.283,44.76,46.6571,189.515
6d 5h 2s,8c7h,0.283,44.77,46.6514,189.465
6d 5h 2s,8c7s,0.283,44.78,46.6559,189.428
6d 5h 2s,9c5c,0.211,64.19,33.7651,95.635
6d 5h 2s,9c6c,0.709,67.59,38.5973,103.821
6d 5h 2s,9c7c,0.709,33.16,27.3227,149.79
6d 5h 2s,9c8c,0.558,32.97,24.8406,136.989
6d 5h 2s,9c8d,0.259,33.03,25.237,138.928
6d 5h 2s,9c8h,0.259,33.04,25.2403,138.881
6d 5h 2s,9c8s,0.259,33.05,25.2673,139.007
6d 5h 2s,Tc2c,0.114,58.87,30.3385,93.7052
6d 5h 2s,Tc3c,0.161,30.37,15.073,90.2254
6d 5h 2s,Tc4c,0.238,31.69,17.1004,98.1004
6d 5h 2s,Tc5c,0.262,63.42,33.2444,95.307
6d 5h 2s,Tc6c,0.622,67.09,38.5932,104.586
6d 5h 2s,Tc7c,0.594,22.92,8.30273,65.8683
6d 5h 2s,Tc8c,0.483,22.87,7.06524,56.1772
6d 5h 2s,Tc9c,0.262,23.05,5.89604,46.5137
6d 5h 2s,Tc8d,0.357,22.92,7.21824,57.2501
6d 5h 2s,Tc9d,0.809,23.12,6.01796,47.3217
6d 5h 2s,Tc8h,0.357,22.94,7.24584,57.4186
6d 5h 2s,Tc9h,0.809,23.14,6.03324,47.3999
6d 5h 2s,Tc8s,0.357,22.95,7.25943,57.5134
6d 5h 2s,Tc9s,0.809,23.15,6.03649,47.4142
6d 5h 2s,Jc2c,0.550,58.99,28.8851,89.0274
6d 5h 2s,Jc3c,0.530,33.41,15.0683,82.0022
6d 5h 2s,Jc4c,0.662,34.74,17.1218,89.6206
6d 5h 2s,Jc5c,0.792,63.58,32.1296,91.8808
6d 5h 2s,Jc6c,0.798,67.38,37.9978,102.535
6d 5h 2s,Jc7c,0.620,26.76,8.22961,55.9128
6d 5h 2s,Jc8c,0.609,26.47,7.13761,49.0221
6d 5h 2s,Jc9c,0.441,26.46,5.87843,40.3932
6d 5h 2s,JcTc,0.419,27.19,5.8206,38.918
6d 5h 2s,Jc8d,0.091,26.51,7.30783,50.1202
6d 5h 2s,Jc9d,0.827,26.53,6.01534,41.2185
6d 5h 2s,JcTd,0.760,27.27,5.95616,39.7164
6d 5h 2s,Jc8h,0.091,26.54,7.34412,50.3137
6d 5h 2s,Jc9h,0.827,26.56,6.03116,41.2835
6d 5h 2s,JcTh,0.760,27.30,5.97302,39.784
6d 5h 2s,Jc8s,0.091,26.54,7.35883,50.4048
6d 5h 2s,Jc9s,0.827,26.57,6.03555,41.305
6d 5h 2s,JcTs,0.760,27.31,5.98033,39.8189
6d 5h 2s,Qc2c,0.834,59.22,28.7299,88.2022
6d 5h 2s,Qc3c,0.842,37.75,15.3676,74.0226
6d 5h 2s,Qc4c,0.813,38.99,17.4668,81.4531
6d 5h 2s,Qc5c,0.814,63.92,32.4242,92.2321
6d 5h 2s,Qc6c,0.781,67.74,38.5098,103.362
6d 5h 2s,Qc7c,0.835,32.16,8.51403,48.1273
6d 5h 2s,Qc8c,0.699,31.76,7.42344,42.4965
6d 5h 2s,Qc9c,0.495,31.76,6.25575,35.8153
6d 5h 2s,QcTc,0.461,32.53,6.35879,35.54
6d 5h 2s,QcJc,0.496,34.60,7.1029,37.3285
6d 5h 2s,Qc9d,0.824,31.83,6.40878,36.6092
6d 5h 2s,QcTd,0.766,32.60,6.51663,36.3436
6d 5h 2s,QcJd,0.818,34.67,7.26402,38.0991
6d 5h 2s,Qc9h,0.824,31.87,6.42454,36.6553
6d 5h 2s,QcTh,0.766,32.64,6.53406,36.3951
6d 5h 2s,QcJh,0.818,34.67,7.27508,38.1501
6d 5h 2s,Qc9s,0.824,31.87,6.42884,36.6735
6d 5h 2s,QcTs,0.766,32.65,6.53852,36.4081
6d 5h 2s,QcJs,0.818,34.72,7.2906,38.1769
6d 5h 2s,Kc2c,0.802,59.65,28.9763,88.3278
